"","EphysProp","GeneSymbol","GeneName","GeneEntrezID","DiscProbeID","DiscCorr","DiscUncorrPval","DiscFDR","AIBSCorr","AIBSUncorrPval","AIBSFDR","AIBSMeanExpr (log2 TPM+1)","AIBSConsistent"
"1","AHPamp","Epha4","Eph receptor A4","13838","1421929_at",-0.78,1.72354651810274e-06,0.00134880377738111,-0.34,0.29,0.545807298567981,5.43,1
"2","AHPamp","Lmo4","LIM domain only 4","16911","1420981_a_at",-0.76,3.36694754881526e-06,0.00134880377738111,-0.45,0.15,0.381322222327906,5.49,1
"3","AHPamp","Add2","adducin 2 (beta)","11519","1421975_a_at",-0.75,4.30239625696333e-06,0.00134880377738111,-0.5,0.1,0.31942333211959,4.94,1
"4","AHPamp","Lingo1","leucine rich repeat and Ig domain containing 1","235402","1428118_at",-0.75,4.81019694459762e-06,0.00134880377738111,-0.65,0.03,0.19761342112235,4.39,1
"5","AHPamp","Ppp3r1","protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)","19058","1433591_at",-0.75,3.68443478412848e-06,0.00134880377738111,-0.6,0.04,0.226065603431334,7.4,1
"6","AHPamp","Wasl","Wiskott-Aldrich syndrome-like (human)","73178","1426777_a_at",-0.75,4.73351429156879e-06,0.00134880377738111,-0.37,0.24,0.48992146333951,5.38,1
"7","AHPamp","Ccdc132","coiled-coil domain containing 132","73288","1432094_a_at",-0.74,6.14727231524013e-06,0.00134880377738111,-0.36,0.25,0.502787249004358,6.07,1
"8","AHPamp","Ccnd2","cyclin D2","12444","1416122_at",-0.74,5.94719012538016e-06,0.00134880377738111,0.41,0.19,0.441204410752739,5.68,-1
"9","AHPamp","Pum1","pumilio RNA-binding family member 1","80912","1423117_at",-0.73,7.51004330390373e-06,0.00134880377738111,-0.48,0.12,0.347987932816676,5.5,1
"10","AHPamp","Chn1","chimerin 1","108699","1420545_a_at",-0.73,1.06977248729946e-05,0.00169527475340279,-0.57,0.06,0.244249700074099,9.92,1
"11","AHPamp","Zfp281","zinc finger protein 281","226442","1452045_at",-0.71,1.85735259034269e-05,0.00263353046230695,-0.38,0.23,0.481830100067587,4.19,1
"12","AHPamp","Kcnb1","potassium voltage gated channel, Shab-related subfamily, member 1","16500","1423180_at",-0.7,2.83472847869938e-05,0.00328531450309792,-0.62,0.04,0.216573574883662,4.85,1
"13","AHPamp","Mapk1","mitogen-activated protein kinase 1","26413","1426585_s_at",-0.7,3.2196036692772e-05,0.00346944491401311,-0.34,0.29,0.545807298567981,6.47,1
"14","AHPamp","Lztr1","leucine-zipper-like transcriptional regulator, 1","66863","1450927_at",-0.69,4.13553351267334e-05,0.00404094378404866,-0.73,0.01,0.176410741974177,5.66,1
"15","AHPamp","Arpc1a","actin related protein 2/3 complex, subunit 1A","56443","1416079_a_at",-0.68,5.77926079901218e-05,0.0047179783613754,-0.68,0.02,0.193401760695105,8.7,1
"16","AHPamp","Plcb1","phospholipase C, beta 1","18795","1425600_a_at",-0.68,6.50903780690524e-05,0.00508459966904303,-0.45,0.15,0.381322222327906,5.92,1
"17","AHPamp","Nsf","N-ethylmaleimide sensitive fusion protein","18195","1422455_s_at",-0.67,6.6058273354308e-05,0.00508459966904303,-0.59,0.05,0.231714430711481,8.86,1
"18","AHPamp","Arhgef25","Rho guanine nucleotide exchange factor (GEF) 25","52666","1419978_s_at",-0.67,7.53653621355564e-05,0.0051723529264806,-0.29,0.35,0.60565870877396,3.97,1
"19","AHPamp","Cap2","CAP, adenylate cyclase-associated protein, 2 (yeast)","67252","1450910_at",-0.67,7.3201583256387e-05,0.0051723529264806,-0.36,0.25,0.502787249004358,6.75,1
"20","AHPamp","Celf1","CUGBP, Elav-like family member 1","13046","1427413_a_at",-0.67,7.87180660674478e-05,0.0051723529264806,-0.55,0.07,0.26457733653403,5.18,1
"21","AHPamp","Crk","v-crk sarcoma virus CT10 oncogene homolog (avian)","12928","1416201_at",-0.67,7.75860135177187e-05,0.0051723529264806,-0.48,0.12,0.347987932816676,5.27,1
"22","AHPamp","Ier5","immediate early response 5","15939","1417612_at",-0.67,7.00598050110535e-05,0.0051723529264806,-0.49,0.11,0.32675511312019,3.13,1
"23","AHPamp","Adcy9","adenylate cyclase 9","11515","1419811_at",-0.67,8.10264373745783e-05,0.00519726719731223,-0.55,0.07,0.267939182491602,3.05,1
